 === Starting experiment === 
 Reward condition: Left arm Better, Observation: [CENTER, No reward, Null]
[Step 61] Observation: [LEFT ARM,  Reward!, Null]
[Step 62] Action: [Move to LEFT ARM]
[Step 62] Observation: [LEFT ARM,  Reward!, Null]
[Step 63] Action: [Move to LEFT ARM]
[Step 63] Observation: [LEFT ARM,  Reward!, Null]
[Step 64] Action: [Move to LEFT ARM]
[Step 64] Observation: [LEFT ARM,  Reward!, Null]
[Step 65] Action: [Move to LEFT ARM]
[Step 65] Observation: [LEFT ARM,  Reward!, Null]
[Step 66] Action: [Move to LEFT ARM]
[Step 66] Observation: [LEFT ARM,  Loss!, Null]
[Step 67] Action: [Move to LEFT ARM]
[Step 67] Observation: [LEFT ARM,  Reward!, Null]
[Step 68] Action: [Move to LEFT ARM]
[Step 68] Observation: [LEFT ARM,  Reward!, Null]
[Step 69] Action: [Move to LEFT ARM]
[Step 69] Observation: [LEFT ARM,  Reward!, Null]
[Step 70] Action: [Move to LEFT ARM]
[Step 70] Observation: [LEFT ARM,  Reward!, Null]
[Step 71] Action: [Move to LEFT ARM]
[Step 71] Observation: [LEFT ARM,  Loss!, Null]
[Step 72] Action: [Move to LEFT ARM]
[Step 72] Observation: [LEFT ARM,  Reward!, Null]
[Step 73] Action: [Move to LEFT ARM]
[Step 73] Observation: [LEFT ARM,  Loss!, Null]
[Step 74] Action: [Move to LEFT ARM]
[Step 74] Observation: [LEFT ARM,  Reward!, Null]
[Step 75] Action: [Move to LEFT ARM]
[Step 75] Observation: [LEFT ARM,  Reward!, Null]
[Step 76] Action: [Move to LEFT ARM]
[Step 76] Observation: [LEFT ARM,  Loss!, Null]
[Step 77] Action: [Move to LEFT ARM]
[Step 77] Observation: [LEFT ARM,  Reward!, Null]
[Step 78] Action: [Move to LEFT ARM]
[Step 78] Observation: [LEFT ARM,  Reward!, Null]
[Step 79] Action: [Move to LEFT ARM]
[Step 79] Observation: [LEFT ARM,  Loss!, Null]
[Step 80] Action: [Move to LEFT ARM]
[Step 80] Observation: [LEFT ARM,  Loss!, Null]
[Step 81] Action: [Move to LEFT ARM]
[Step 81] Observation: [LEFT ARM,  Reward!, Null]
[Step 82] Action: [Move to LEFT ARM]
[Step 82] Observation: [LEFT ARM,  Reward!, Null]
