t,location,reward,cue,action
450,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
451,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
452,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
453,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
454,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
455,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
456,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
457,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
458,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
459,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
460,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
461,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
462,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
463,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
464,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
465,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
466,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
467,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
468,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
469,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
470,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
471,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
472,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
473,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
474,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
475,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
476,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
477,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
478,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
479,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
480,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
481,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
482,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
483,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
484,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
485,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
486,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
487,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
488,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
489,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
490,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
491,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
492,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
493,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
494,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
495,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
496,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
497,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
498,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
499,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
500,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
501,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
502,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
503,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
504,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
505,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
506,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
507,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
508,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
509,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
510,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
511,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
512,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
513,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
514,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
515,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
516,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
517,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
518,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
519,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
520,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
521,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
522,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
523,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
524,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
525,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
526,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
527,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
528,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
529,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
530,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
531,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
532,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
533,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
534,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
535,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
536,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
537,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
538,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
539,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
540,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
541,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
542,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
543,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
544,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
545,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
546,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
547,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
548,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
549,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
550,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
551,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
552,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
553,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
554,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
555,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
556,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
557,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
558,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
559,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
560,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
561,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
562,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
563,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
564,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
565,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
566,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
567,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
568,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
569,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
570,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
571,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
572,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
573,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
574,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
575,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
576,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
577,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
578,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
579,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
580,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
581,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
582,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
583,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
584,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
585,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
586,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
587,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
588,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
589,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
590,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
591,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
592,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
593,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
594,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
595,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
596,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
597,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
598,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
599,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
600,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
601,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
602,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
603,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
604,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
605,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
606,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
607,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
608,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
609,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
610,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
611,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
612,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
613,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
614,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
615,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
616,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
617,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
618,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
619,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
620,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
621,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
622,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
623,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
624,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
625,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
626,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
627,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
628,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
629,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
630,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
631,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
632,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
633,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
634,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
635,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
636,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
637,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
638,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
639,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
640,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
641,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
642,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
643,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
644,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
645,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
646,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
647,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
648,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
649,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
650,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
651,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
652,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
653,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
654,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
655,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
656,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
657,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
658,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
659,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
660,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
661,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
662,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
663,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
664,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
665,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
666,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
667,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
668,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
669,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
670,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
671,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
672,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
673,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
674,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
675,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
676,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
677,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
678,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
679,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
680,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
681,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
682,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
683,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
684,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
685,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
686,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
687,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
688,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
689,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
690,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
691,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
692,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
693,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
694,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
695,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
696,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
697,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
698,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
699,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
700,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
701,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
702,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
703,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
704,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
705,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
706,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
707,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
708,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
709,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
710,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
711,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
712,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
713,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
714,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
715,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
716,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
717,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
718,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
719,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
720,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
721,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
722,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
723,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
724,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
725,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
726,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
727,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
728,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
729,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
730,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
731,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
732,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
733,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
734,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
735,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
736,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
737,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
738,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
739,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
740,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
741,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
742,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
743,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
744,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
745,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
746,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
747,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
748,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
749,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
750,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
751,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
752,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
753,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
754,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
755,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
756,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
757,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
758,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
759,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
760,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
761,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
762,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
763,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
764,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
765,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
766,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
767,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
768,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
769,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
770,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
771,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
772,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
773,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
774,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
775,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
776,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
777,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
778,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
779,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
780,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
781,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
782,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
783,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
784,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
785,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
786,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
787,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
788,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
789,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
790,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
791,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
792,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
793,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
794,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
795,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
796,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
797,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
798,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
799,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
800,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
801,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
802,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
803,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
804,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
805,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
806,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
807,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
808,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
809,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
810,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
811,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
812,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
813,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
814,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
815,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
816,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
817,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
818,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
819,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
820,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
821,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
822,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
823,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
824,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
825,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
826,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
827,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
828,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
829,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
830,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
831,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
832,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
833,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
834,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
835,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
836,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
837,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
838,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
839,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
840,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
841,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
842,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
843,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
844,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
845,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
846,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
847,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
848,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
849,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
850,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
851,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
852,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
853,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
854,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
855,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
856,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
857,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
858,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
859,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
860,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
861,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
862,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
863,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
864,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
865,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
866,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
867,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
868,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
869,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
870,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
871,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
872,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
873,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
874,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
875,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
876,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
877,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
878,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
879,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
880,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
881,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
882,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
883,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
884,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
885,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
886,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
887,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
888,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
889,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
890,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
891,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
892,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
893,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
894,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
895,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
896,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
897,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
898,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
899,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
900,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
